Name,Latitude,Longitude,Type,subtype1,subtype2,City,Address,Link,,
United States Postal Service,41.370566,-74.6981377,post office,y,y,Port Jervis NY,6 Pennsylvania Avenue  Matamoras,https://www.google.com/maps/place/?q=place_id:ChIJuxcsrVBPw4kRqsV23bcCToA,,
United States Postal Service,41.3015257,-74.5620912,post office,y,y,Unionville NY,1 Main Street  Unionville,https://www.google.com/maps/place/?q=place_id:ChIJMbfVEfE4w4kRTVGah2KD2YI,,
United States Postal Service,41.1950586,-74.4830748,post office,y,y,Vernon NJ,530 County Road 515 Unit 13  Vernon Township,https://www.google.com/maps/place/?q=place_id:ChIJgw1MG-k9w4kRRDENZi0Gb8w,,
United States Postal Service,41.3079728,-74.1529218,post office,y,y,Harriman NY,88 New York 17M  Harriman,https://www.google.com/maps/place/?q=place_id:ChIJb--dgWvXwokRxSIvbu3VQTQ,,
United States Postal Service,41.3312479,-73.9875877,post office,y,y,Fort Montgomery NY,130 Firefighters Memorial Drive  Fort Montgomery,https://www.google.com/maps/place/?q=place_id:ChIJ_YE55GPOwokRM9ALnl8GYNk,,
United States Postal Service,41.3110678,-73.9874454,post office,y,y,Fort Montgomery NY,30 Service Road  Bear Mountain,https://www.google.com/maps/place/?q=place_id:ChIJ6QFUzVbOwokRbmUEX5olXoo,,
United States Postal Service,41.2895672,-73.9230162,post office,y,y,Peekskill NY,738 South Street  Peekskill,https://www.google.com/maps/place/?q=place_id:ChIJ468QkNrIwokRY9J8HwtaL8I,,
United States Postal Service,41.5638221,-73.6020919,post office,y,y,Pawling NY,10 Broad Street  Pawling,https://www.google.com/maps/place/?q=place_id:ChIJZ9kkRatb3YkRTJfAvxBGiww,,
United States Postal Service,41.7272295,-73.4718593,post office,y,y,Kent CT,31 Kent Green Boulevard  Kent,https://www.google.com/maps/place/?q=place_id:ChIJgxLH6ORh3YkRpintyxqw_2Q,,
United States Postal Service,41.9821203,-73.4223099,post office,y,y,Salisbury CT,22 Main Street  Salisbury,https://www.google.com/maps/place/?q=place_id:ChIJsaF8Xp9_54kRsa_svs_pqfw,,
United States Postal Service,42.1963424,-73.3614126,post office,y,y,Great Barrington MA,222 Main Street  Great Barrington,https://www.google.com/maps/place/?q=place_id:ChIJl8QkB8do54kRQz67qd10xpk,,
United States Postal Service,42.3052185,-73.2507566,post office,y,y,Lee MA,35 Frank  Consolati Way  Lee,https://www.google.com/maps/place/?q=place_id:ChIJt68lVGpD54kRDMrRoyIUOo8,,
United States Postal Service,42.4731257,-73.164254,post office,y,y,Dalton MA,609 Main Street  Dalton,https://www.google.com/maps/place/?q=place_id:ChIJuyn5yehL54kRed5iLjiMGJ8,,
United States Postal Service,42.5618495,-73.1578621,post office,y,y,Cheshire MA,214 Church Street  Cheshire,https://www.google.com/maps/place/?q=place_id:ChIJYQnguuy04IkR7L3KNbd8coI,,
United States Postal Service,42.6981581,-73.1107115,post office,y,y,North Adams MA,67 Summer Street  North Adams,https://www.google.com/maps/place/?q=place_id:ChIJtUxE6hW44IkRkvUnXUslx6Y,,
United States Postal Service,42.71051749999999,-73.2040451,post office,y,y,Williamstown MA,56 Spring Street  Williamstown,https://www.google.com/maps/place/?q=place_id:ChIJxyoKQhO64IkRYtsR8PSmJik,,
United States Postal Service,42.87657579999999,-73.1982993,post office,y,y,Bennington VT,108 Elm Street  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJ0_Qyi2WW4IkRXFAN4xEa-Ik,,
United States Postal Service,43.1676854,-73.0474412,post office,y,y,Manchester Center VT,3452 Richville Road  Manchester Center,https://www.google.com/maps/place/?q=place_id:ChIJ8RvydlNe4IkRo30rgJXJxp4,,
United States Postal Service,43.1633619,-73.0730322,post office,y,y,Manchester Center VT,300 Seminary Avenue  Manchester,https://www.google.com/maps/place/?q=place_id:ChIJs-N0Xs5f4IkRPSozZGrmohk,,
United States Postal Service,43.60791159999999,-72.9823802,post office,y,y,Rutland VT,173 West Street  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJewZdPX0k4IkRVIJFxQO8MXk,,
United States Postal Service,43.613209,-72.965174,post office,y,y,Rutland VT,86 Woodstock Avenue STE 2  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJ4z1vSEMk4IkRqnWTF5COgT4,,
United States Postal Service,43.700657,-72.289287,post office,y,y,Hanover NH,50 South Main Street  Hanover,https://www.google.com/maps/place/?q=place_id:ChIJi02JzefJtEwRJJWT7jWd5Tk,,
United States Postal Service,43.7137172,-72.3087548,post office,y,y,Hanover NH,293 Main Street  Norwich,https://www.google.com/maps/place/?q=place_id:ChIJ97IpNKXJtEwRUrMfN6nRT-0,,
