latitude,longitude,distance_from_last_marker,mile_marker_number
34.63774722,-84.19498077,1,1
34.64794036,-84.19366203,1,2
34.65200996,-84.19775983,1,3
34.66062364,-84.18791388,1,4
34.66711785,-84.17508644,1,5
34.66414031,-84.16482717,1,6
34.66304646,-84.15144118,1,7
34.66341219,-84.13808885,1,8
34.66368438,-84.12547819,1,9
34.65693535,-84.1121013,1,10
34.65384206,-84.10194795,1,11
34.6525495,-84.08748628,1,12
34.65750317,-84.07679301,1,13
34.65969945,-84.06522119,1,14
34.65773735,-84.05572443,1,15
34.65487235,-84.04495407,1,16
34.65258289,-84.03148377,1,17
34.66470023,-84.02584072,1,18
34.67295316,-84.01654372,1,19
34.6722731,-84.00369274,1,20
34.68245239,-83.9972184,1,21
34.69309787,-83.99215914,1,22
34.69958814,-83.98762889,1,23
34.70925856,-83.9847631,1,24
34.71768995,-83.97588975,1,25
34.7242379,-83.96817771,1,26
34.73103611,-83.95595918,1,27
34.74064329,-83.94602598,1,28
34.74062439,-83.93855429,1,29
34.7376017,-83.93220712,1,30
34.73813663,-83.9230222,1,31
34.73440282,-83.91235157,1,32
34.73206555,-83.9013258,1,33
34.72558494,-83.89138446,1,34
34.72384403,-83.87668377,1,35
34.72469406,-83.8625512,1,36
34.72483514,-83.85364858,1,37
34.72518485,-83.84174803,1,38
34.73033662,-83.83071352,1,39
34.74287758,-83.82675998,1,40
34.7537616,-83.8280313,1,41
34.76601081,-83.8308437,1,42
34.77491374,-83.8253351,1,43
34.78279771,-83.81791991,1,44
34.7938571,-83.81003909,1,45
34.8018893,-83.80504122,1,46
34.8100716,-83.81060849,1,47
34.81977448,-83.80006256,1,48
34.82174875,-83.78636143,1,49
34.81757411,-83.77568799,1,50
34.81432109,-83.76055841,1,51
34.80618809,-83.74946336,1,52
34.80206297,-83.74098372,1,53
34.80026799,-83.73197193,1,54
34.79441726,-83.72057217,1,55
34.79297687,-83.70540991,1,56
34.79723863,-83.69300977,1,57
34.80140825,-83.68370658,1,58
34.80608176,-83.66900735,1,59
34.81547885,-83.6577336,1,60
34.82639193,-83.65673506,1,61
34.83890934,-83.65928432,1,62
34.85152954,-83.65969809,1,63
34.86349512,-83.65590553,1,64
34.8759287,-83.65455476,1,65
34.88715862,-83.64706097,1,66
34.89371925,-83.63391775,1,67
34.89823297,-83.62736047,1,68
34.90825277,-83.62282959,1,69
34.91357308,-83.61154881,1,70
34.91468503,-83.59896391,1,71
34.92528442,-83.59994655,1,72
34.93844553,-83.6018035,1,73
34.94583599,-83.59126184,1,74
34.95512977,-83.59409876,1,75
34.96456755,-83.59402428,1,76
34.97653368,-83.59596113,1,77
34.98816408,-83.59929542,1,78
34.99632233,-83.59329228,1,79
35.00508262,-83.58451242,1,80
