latitude,longitude,elevation,distance_along_trail_miles
34.662509,-84.18455,2539.042076,4.274475
34.662832,-84.184286,2530.183808,4.302112
34.663068,-84.184508,2520.997456,4.323342
34.663207,-84.184507,2518.0447,4.333196
34.663479,-84.184112,2517.388532,4.363264
34.664173,-84.183748,2517.060448,4.416793
34.664284,-84.183513,2519.68512,4.43263
34.664848,-84.183024,2540.026328,4.48189
34.665289,-84.1825,2548.228428,4.525656
34.665623,-84.18145,2577.755988,4.591697
34.665863,-84.181073,2569.225804,4.619576
34.666324,-84.180029,2555.118192,4.688849
34.666681,-84.17869,2581.036828,4.771275
34.66701,-84.177794,2611.220556,4.828907
34.667042,-84.177332,2624.015832,4.856131
34.666921,-84.176772,2649.934468,4.89035
34.667139,-84.176534,2643.044704,4.911171
34.667076,-84.175903,2688.320296,4.949364
34.667196,-84.17563,2685.039456,4.967457
34.667015,-84.174371,2735.892476,5.042833
34.666606,-84.173868,2783.464656,5.085123
34.666634,-84.173772,2786.089328,5.091098
34.66693,-84.173697,2780.839984,5.112525
34.667243,-84.173451,2787.401664,5.138968
34.667389,-84.17319,2786.089328,5.1574
34.667392,-84.172989,2785.43316,5.169156
34.667194,-84.172469,2775.59064,5.20269
34.666791,-84.172142,2793.63526,5.237206
34.666769,-84.171881,2798.884604,5.252581
34.666562,-84.171894,2802.493528,5.267267
34.66644,-84.171776,2810.695628,5.278434
34.666693,-84.171123,2831.036836,5.320793
34.66675,-84.170748,2835.630012,5.343106
34.667007,-84.17063,2849.737624,5.362752
34.667176,-84.17045,2867.126076,5.379039
34.667299,-84.169934,2871.719252,5.410454
34.667038,-84.169971,2885.826864,5.429253
34.666587,-84.16977,2891.404292,5.463284
34.665951,-84.169254,2899.606392,5.517495
34.665659,-84.16921,2909.120828,5.538402
34.665319,-84.169842,2947.178572,5.583118
34.665214,-84.169802,2953.412168,5.591002
34.665132,-84.169486,2946.19432,5.610421
34.664627,-84.169042,2970.80062,5.654854
34.664431,-84.168756,2990.813744,5.676927
34.664601,-84.168495,2975.393796,5.696591
34.664578,-84.168351,2977.034216,5.705174
34.664172,-84.168103,2995.078836,5.73755
34.663972,-84.168082,3006.88986,5.751942
34.663731,-84.167696,3001.640516,5.780251
34.663304,-84.167509,3029.85574,5.812853
34.66335,-84.167122,3017.716632,5.835838
34.66314,-84.166519,3026.246816,5.874139
34.663212,-84.166242,3032.480412,5.891163
34.663447,-84.165842,3040.682512,5.919907
34.663759,-84.165609,3034.777,5.945879
34.663996,-84.16527,3024.93448,5.971916
34.664142,-84.164822,3044.291436,6.000328
34.664297,-84.164736,3050.196948,6.01245
34.665743,-84.164512,3079.724508,6.115781
34.665843,-84.164299,3084.317684,6.130134
34.665721,-84.163642,3068.241568,6.169633
34.665435,-84.162861,3071.194324,6.21959
34.665455,-84.162542,3065.616896,6.238328
34.66527,-84.161759,3077.756004,6.286007
34.665485,-84.161412,3083.333432,6.311392
34.665494,-84.160996,3083.333432,6.335726
34.6647,-84.1604,3099.409548,6.401923
34.664477,-84.159816,3126.968604,6.439922
34.664241,-84.159543,3155.839996,6.463699
34.664201,-84.159344,3171.259944,6.476045
34.664331,-84.158886,3202.427924,6.505004
34.664613,-84.158335,3213.910864,6.54297
34.664726,-84.157835,3216.207452,6.573284
34.664536,-84.157127,3215.2232,6.616814
34.664682,-84.156322,3233.26782,6.665135
34.664668,-84.155787,3249.67202,6.696597
34.664517,-84.15537,3269.028976,6.723484
34.664512,-84.155033,3286.745512,6.743492
34.664627,-84.154569,3320.538164,6.772571
34.664546,-84.154182,3344.160212,6.796364
34.66455,-84.153538,3366.469924,6.834272
34.664246,-84.153061,3368.438428,6.8695
34.66327,-84.152016,3337.598532,6.961918
34.663106,-84.151738,3327.756012,6.981984
34.662906,-84.150741,3287.073596,7.042498
34.662991,-84.149606,3249.67202,7.109536
34.663143,-84.149373,3246.719264,7.126905
34.6636,-84.149157,3240.485668,7.161648
34.663923,-84.148758,3230.315064,7.194371
34.664217,-84.147917,3240.813752,7.247809
34.664251,-84.147545,3241.798004,7.269695
34.664085,-84.146903,3244.094592,7.309034
34.664079,-84.146247,3234.90824,7.347438
34.663915,-84.145503,3222.112964,7.392534
34.664113,-84.144909,3222.769132,7.429988
34.664063,-84.144375,3223.4253,7.461414
34.66412,-84.144129,3222.769132,7.476355
34.664364,-84.143677,3218.832124,7.507936
34.664862,-84.143206,3198.819,7.552834
34.665059,-84.142862,3196.850496,7.577312
34.665275,-84.142198,3210.30194,7.619122
34.66552,-84.141977,3209.645772,7.640747
34.665701,-84.141677,3202.756008,7.66251
34.66568,-84.14083,3208.333436,7.712072
34.66591,-84.140407,3198.162832,7.741748
34.665816,-84.139855,3190.6169,7.774737
34.665518,-84.139256,3214.567032,7.815886
34.665209,-84.138826,3218.832124,7.84922
34.664925,-84.138665,3215.551284,7.871424
34.664074,-84.138574,3217.519788,7.931887
34.663984,-84.138491,3208.66152,7.940078
34.663607,-84.138558,3218.50404,7.967113
34.663388,-84.138209,3224.737636,7.992768
34.663447,-84.137916,3223.753384,8.010404
34.664217,-84.137449,3208.333436,8.071431
34.664652,-84.136962,3189.632648,8.113526
34.664326,-84.13622,3169.619524,8.162821
34.663512,-84.135888,3131.889864,8.224054
34.663387,-84.1357,3123.35968,8.238262
34.663316,-84.135215,3098.097212,8.26748
34.66349,-84.134116,3043.963352,8.333756
34.663352,-84.13286,2995.735004,8.408439
34.663142,-84.131789,2948.818992,8.473449
34.663198,-84.131094,2916.338676,8.514768
34.663155,-84.130619,2894.685132,8.543026
34.663304,-84.130433,2877.952848,8.558521
34.663443,-84.130033,2856.955472,8.584222
34.663586,-84.129919,2848.425288,8.596453
34.663608,-84.129149,2869.422664,8.641691
34.663815,-84.129058,2894.357048,8.658014
34.663945,-84.128766,2920.931852,8.678087
34.6641,-84.128672,2930.774372,8.690505
34.664184,-84.128318,2944.225816,8.7122
34.664161,-84.127626,2973.097208,8.753085
34.664892,-84.126794,3051.1812,8.825707
34.665186,-84.126217,3092.847868,8.866166
34.665209,-84.125932,3111.548656,8.883301
34.66488,-84.125892,3129.265192,8.906954
34.664539,-84.125732,3138.451544,8.932899
34.664024,-84.125776,3138.12346,8.969437
34.663786,-84.12564,3134.514536,8.988077
34.663629,-84.12539,3126.968604,9.006498
34.663413,-84.125232,3106.299312,9.024806
34.663059,-84.124488,3079.06834,9.075289
34.662834,-84.123527,3041.666764,9.134148
34.662453,-84.123129,3017.388548,9.170079
34.6623,-84.122627,2998.359676,9.201585
34.662332,-84.122378,2998.359676,9.216321
34.662051,-84.121401,2961.286184,9.277243
34.661765,-84.121185,2958.005344,9.30111
34.661556,-84.120739,2983.595896,9.331503
34.661211,-84.120378,3005.24944,9.364054
34.660699,-84.119164,3090.879364,9.445479
34.660447,-84.118899,3094.488288,9.469116
34.660176,-84.118801,3080.380676,9.48932
34.659906,-84.118529,3057.74288,9.514569
34.659791,-84.118476,3048.228444,9.523473
34.659594,-84.118519,3020.997472,9.538597
34.65879,-84.118149,2952.756,9.600902
34.658444,-84.11787,2933.727128,9.630558
34.658304,-84.117651,2922.244188,9.646904
34.658263,-84.11727,2935.367548,9.669517
34.657951,-84.11618,2926.837364,9.736996
34.657857,-84.115434,2917.651012,9.781163
34.657657,-84.1149,2916.994844,9.815449
34.657628,-84.114423,2934.055212,9.843615
34.657782,-84.113884,2963.910856,9.877469
34.657478,-84.113364,2946.850488,9.914867
34.657433,-84.113111,2929.462036,9.930374
34.657083,-84.112548,2904.527652,9.97186
34.656925,-84.11207,2901.90298,10.001972
34.656936,-84.11147,2916.338676,10.03718
34.656602,-84.110704,2938.648388,10.088016
34.656467,-84.110415,2950.131328,10.107559
34.656303,-84.110338,2952.756,10.120018
34.656001,-84.109812,2959.973848,10.157502
34.656192,-84.10838,2948.162824,10.242362
34.656064,-84.108116,2922.572272,10.260941
34.656163,-84.107797,2899.606392,10.281363
34.655975,-84.107365,2848.753372,10.31158
34.655975,-84.107197,2833.661508,10.321834
34.655999,-84.107005,2816.273056,10.333682
34.656293,-84.106593,2781.168068,10.366241
34.655989,-84.106532,2761.483028,10.388383
34.656154,-84.106276,2741.14182,10.407777
34.656108,-84.106249,2736.548644,10.411504
34.655712,-84.106339,2714.8951,10.440328
34.65578,-84.105813,2683.070952,10.472073
34.655329,-84.105354,2680.774364,10.51378
34.655097,-84.104927,2715.223184,10.544408
34.654314,-84.104606,2744.750744,10.603196
34.654202,-84.104462,2757.217936,10.615013
34.653816,-84.104252,2756.561768,10.644965
34.653296,-84.103342,2801.509276,10.710256
34.653243,-84.102632,2853.018464,10.753135
34.653647,-84.103127,2877.29668,10.794096
34.653905,-84.103234,2886.811116,10.813486
34.654224,-84.103285,2895.3413,10.836319
