Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Blue Ridge Parkway,37.941280999904954,-78.93671434,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,37.53766951693962,-79.49551162,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,37.52460237476558,-79.5052346,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,37.43140014409186,-79.75003871,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,38.03095369999999,-78.8579771,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,37.44547718511914,-79.72614783,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Parkway,37.674049165587476,-79.33443629,secondary,2007649,,crossing.csv,,,,,
Blue Ridge Road,34.66361039138355,-84.12960753,unclassified,2007643,FS 42,crossing.csv,,,,,
Blue Ridge Road,34.65300553550959,-84.08464454,unclassified,2007643,FS 42,crossing.csv,,,,,
Blue Ridge Road,34.63752842193976,-84.19532328,unclassified,2007643,FS 42,crossing.csv,,,,,
Blue Ridge Road,34.652152,-84.032289,unclassified,,,crossing.csv,,,,,
Boardman Street,42.144247,-73.352927,residential,2991960,,crossing.csv,,,,,
Bobblet Gap Road,37.46792075689431,-79.69912599,track,2007649,FR 4008,crossing.csv,,,,,
Boiling Springs Road,40.15087499999987,-77.1227664,secondary,394916,PA 174,crossing.csv,,,,,
Boise Road,45.272636799999994,-69.9241418,residential,2007932,,crossing.csv,,,,,
Boonsboro Mountain Road,39.5346745,-77.60778,secondary,2007644,,crossing.csv,,,,,
Boonsboro Mountain Road,39.52781192226541,-77.61274486,secondary,2007644,,crossing.csv,,,,,
Boyer Road,40.190030161154574,-77.10758154,residential,394916,,crossing.csv,,,,,
Bridge Street,35.89357590000001,-82.8218848,primary,2007647,US 25;US 70,crossing.csv,,,,,
Bridge Street,35.89206439017307,-82.82894019,primary,2007647,US 25;US 70,crossing.csv,,,,,
Bridger Tract,36.156769198154585,-82.21966456,track,2007647,FS 53301,crossing.csv,,,,,
Brink Road,41.15098026034084,-74.83780236,track,2007688,,crossing.csv,,,,,
Broad Street,40.580219659198875,-76.0250284,residential,394916,,crossing.csv,,,,,
Broadway (Old Route 115),40.86130904677837,-75.29437828,primary,394916,,crossing.csv,,,,,
Broadway Avenue,40.39271524753453,-77.03033914,residential,394916,,crossing.csv,,,,,
Browns Gap Fire Road,38.240641,-78.710874,track,2007649,,crossing.csv,,,,,
Browns Gap Road,38.240641,-78.710874,service,2007649,SR 663,crossing.csv,,,,,
Buchanan Trail East,39.7414529,-77.4903498,primary,394916,PA 16,crossing.csv,,,,,
Bucher Hill Road,40.15067473571283,-77.12397268,residential,394916,,crossing.csv,,,,,
Bucher Hill Road,40.14784295420558,-77.12470949,residential,394916,,crossing.csv,,,,,
Buck Mountain Road,36.201312500000014,-81.9989903,residential,2007647,,crossing.csv,,,,,
