Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
SR 607,37.67629333545379,-79.33237963,unclassified,2007649,SR 607,crossing.csv,,,,,
SR 621,37.379167655835744,-80.25001818,tertiary,2007649,SR 621,crossing.csv,,,,,
SR 91,36.4813436,-81.96057587,secondary,2007647,SR 91,crossing.csv,,,,,
Stage Coach Road,42.850198836030124,-73.11863138,track,392991,,crossing.csv,,,,,
Stage Road,43.6720068,-72.554159,tertiary,392991,,crossing.csv,,,,,
State Game Land Road,40.56333315174562,-76.05328942,track,394916,,crossing.csv,,,,,
State Game Land Road,40.555390211377336,-76.07519105,track,394916,,crossing.csv,,,,,
State Game Land Road,40.54742661375206,-76.10105177,track,394916,,crossing.csv,,,,,
State Game Land Road,40.5604996,-76.0586354,track,394916,,crossing.csv,,,,,
State Highway 16,36.811483962992746,-81.4212324,primary,2007649,VA 16,crossing.csv,,,,,
State Highway 17,41.267200200000005,-74.1590561,primary,2007688,NY 17,crossing.csv,,,,,
State Highway 17A,41.245685265401036,-74.28519763,primary,2007688,NY 17A,crossing.csv,,,,,
State Highway 22,41.593860699994956,-73.5870511,trunk,2007688,NY 22;NY 55,crossing.csv,,,,,
State Highway 403,41.3507503,-73.9261273,secondary,2007688,NY 403;US 6 Alt;US 202 Alt,crossing.csv,,,,,
State Highway 55,41.58845507127607,-73.65775239,primary,2007688,NY 55,crossing.csv,,,,,
State Line Road,41.2902999,-74.5372816,tertiary,2007688,,crossing.csv,,,,,
State Road,42.69992409016478,-73.15568969,trunk,2991960,MA 2,crossing.csv,,,,,
State Route 25A,43.9011082,-71.9819381,secondary,2007646,NH 25A,crossing.csv,,,,,
State Route 52,41.54081519459822,-73.73305622,secondary,2007688,NY 52,crossing.csv,,,,,
State Route 611,37.14607208053115,-81.00835913,residential,2007649,,crossing.csv,,,,,
State Route 612,37.139364423351985,-81.1215394,tertiary,2007649,SR 612,crossing.csv,,,,,
State Route 612,37.140331,-81.125196,tertiary,2007649,SR 612,crossing.csv,,,,,
State Route 620,37.390433816293005,-80.19613494,tertiary,2007649,SR 620,crossing.csv,,,,,
State Route 625,37.02272270029507,-81.42508735,unclassified,2007649,SR 625,crossing.csv,,,,,
State Route 742,36.973301,-81.3975256,residential,2007649,,crossing.csv,,,,,
Stetson Road,43.71778730735712,-72.41672457,residential,392991,,crossing.csv,,,,,
Stillhouse Hollow Road,39.9470816,-77.4912226,unclassified,394916,,crossing.csv,,,,,
Stony Brook Road,43.691230342878484,-72.72040594,track,392991,,crossing.csv,,,,,
Stormville Mountain Road,41.5442546,-73.7137407,residential,2007688,,crossing.csv,,,,,
Stratton Arlington Road,43.06109201,-72.96803279,unclassified,392991,,crossing.csv,,,,,
Stratton Brook Pond Road,45.1118257,-70.3494427,service,2007932,,crossing.csv,,,,,
Streets Gap Road,35.968869336112085,-82.54016686,track,2007647,,crossing.csv,,,,,
Suedberg Road,40.48998269302893,-76.55108042,secondary,394916,PA 443,crossing.csv,,,,,
Sugar Hill Road,43.45484876869709,-72.93574642,residential,392991,,crossing.csv,,,,,
Suiter Road,37.10274699999999,-81.202178,residential,2007649,SR 615,crossing.csv,,,,,
Summer Street,43.699305808627294,-72.28298622,unclassified,2007646,,crossing.csv,,,,,
Summit Road,42.638725794573936,-73.16506841,unclassified,2991960,,crossing.csv,,,,,
Summit Road,42.63704856427398,-73.16777256,unclassified,2991960,,crossing.csv,,,,,
Summit Road,42.634025445254636,-73.17071199,unclassified,2991960,,crossing.csv,,,,,
Sunken Mine Road,41.43077097950315,-73.85023514,track,2007688,,crossing.csv,,,,,
Sunrise Mountain Road,41.18166042081594,-74.78537839,residential,2007688,,crossing.csv,,,,,
Surebridge Swamp Road,41.2642744,-74.113481,track,2007688,AT,crossing.csv,,,,,
Susan Street,40.398389558409825,-77.0242117,residential,394916,,crossing.csv,,,,,
Swamp Road,39.8464389,-77.5069588,unclassified,394916,,crossing.csv,,,,,
Swapping Camp Road,37.6854974,-79.2711394,unclassified,2007649,,crossing.csv,,,,,
Sweetwater Road,35.3582947,-83.7180372,secondary,2007645,NC 143,crossing.csv,,,,,
Tanners Ridge Fire Road,38.51344680863965,-78.44885461,track,2007649,,crossing.csv,,,,,
Teas Road,36.76315148,-81.49324878,tertiary,2007649,SR 601,crossing.csv,,,,,
Tellico Road,35.26811769477245,-83.57229353,residential,2007645,,crossing.csv,,,,,
Thayer Drive,43.702770610980224,-72.29508022,service,2007646,,crossing.csv,,,,,
Three Forks 4 / Hightower Gap,34.6631826,-84.1306526,,2007643,,crossing.csv,,,,,
Three Mile Road,43.71789376747944,-72.17593887,unclassified,2007646,,crossing.csv,,,,,
Thundering Brook Road,43.67955529148192,-72.78721207,residential,392991,,crossing.csv,,,,,
Thundering Brook Road,43.67279421781404,-72.79878802,residential,392991,,crossing.csv,,,,,
Tigertown Road,43.7176144,-72.4171871,unclassified,392991,,crossing.csv,,,,,
Tirio Access Road,45.7090844,-69.0116876,track,2007932,,crossing.csv,,,,,
Tollhouse Gap,37.4011256,-79.8676711,,2007649,,crossing.csv,,,,,
Totman Hill Road,43.6756845,-72.5403174,residential,392991,,crossing.csv,,,,,
Totts Gap Hill Road,40.94843904054236,-75.16177448,track,394916,,crossing.csv,,,,,
Totts Gap Hill Road,40.9495787,-75.1523531,track,394916,,crossing.csv,,,,,
Tray Mountain Road,34.793242887081774,-83.70330431,track,2007643,,crossing.csv,,,,,
Tray Mountain Road,34.799229825150285,-83.69086547,track,2007643,,crossing.csv,,,,,
Trescott Road,43.704854499999996,-72.2295745,tertiary,2007646,,crossing.csv,,,,,
Trico Fire Road,38.953278100641384,-78.02137648,track,2007649,,crossing.csv,,,,,
Trindle Road,40.194922,-77.108375,primary,394916,PA 641,crossing.csv,,,,,
Troutdale Road,45.2498053,-69.8309323,residential,2007932,,crossing.csv,,,,,
Tuck Drive,43.70339547817468,-72.29845251,unclassified,2007646,,crossing.csv,,,,,
Tuckers Lane,38.9113434,-78.0531674,unclassified,2007649,SR 725,crossing.csv,,,,,
Tumbling Run Shelters Haul Road,39.8048052,-77.4777979,track,394916,,crossing.csv,,,,,
Tyne Road,42.2968915,-73.1506716,tertiary,2991960,,crossing.csv,,,,,
U.S. Route 4,43.6668594,-72.8501328,trunk,392991,US 4,crossing.csv,,,,,
Unaka Springs Road,36.10499580372173,-82.44850648,residential,2007647,FS 107,crossing.csv,,,,,
Under Mountain Road,42.14613796473454,-73.41647887,secondary,2991960,MA 41,crossing.csv,,,,,
Under Mountain Road,41.9935815,-73.4264596,secondary,3352289,CT 41,crossing.csv,,,,,
Unicoi Turnpike,34.80218878,-83.74300637,primary,2007643,GA 17;GA 75,crossing.csv,,,,,
Unionville Road,41.302347,-74.575928,tertiary,2007688,CR 651,crossing.csv,,,,,
Upper Cold River Road,43.55019173675301,-72.85690032,unclassified,392991,,crossing.csv,,,,,
Upper North Shore Road,41.17716880000001,-74.7913034,secondary,2007688,CR 636,crossing.csv,,,,,
US 19;US 74,35.33111840536861,-83.59173378,trunk,2007645,US 19;US 74,crossing.csv,,,,,
US 19E,36.17748193198223,-82.01167547,trunk,2007647,US 19E,crossing.csv,,,,,
US 19W,36.03198199999999,-82.4202439,primary,2007647,US 19W,crossing.csv,,,,,
US 2,44.4011476,-71.1093544,trunk,2007646,US 2,crossing.csv,,,,,
US 206;CR 521,41.177168799999926,-74.7913034,primary,2007688,US 206;CR 521,crossing.csv,,,,,
US 321;SR 67,36.302016140637924,-82.12793524,primary,2007647,US 321;SR 67,crossing.csv,,,,,
US 421,36.538822,-81.9488596,trunk,2007647,US 421,crossing.csv,,,,,
US 76;GA 2,34.912243730287386,-83.61894548,trunk,2007643,US 76;GA 2,crossing.csv,,,,,
US Highway 211,38.66098826068718,-78.32347116,trunk,2007649,US 211,crossing.csv,,,,,
US Route 201,45.238222990353066,-69.99632645,trunk,2007932,US 201,crossing.csv,,,,,
Valley Road,40.32203703906287,-77.0774446,secondary,394916,PA 850,crossing.csv,,,,,
Valley Road,37.404723,-79.894788,tertiary,2007649,SR 779,crossing.csv,,,,,
Valley View Drive,40.93540811141613,-75.19684319,secondary,394916,PA 191,crossing.csv,,,,,
Vermont Route 100,43.67441613791154,-72.80947968,primary,392991,VT 100,crossing.csv,,,,,
Vermont Route 103,43.52144434476676,-72.9250269,trunk,392991,VT 103,crossing.csv,,,,,
Vermont Route 11 30,43.20681291867519,-72.97079773,primary,392991,VT 11;VT 30,crossing.csv,,,,,
Vermont Route 14,43.71225430000004,-72.4173581,secondary,392991,VT 14,crossing.csv,,,,,
Vermont Route 140 East,43.45569018448472,-72.93421266,secondary,392991,VT 140,crossing.csv,,,,,
Vermont Route 9,42.884969113213636,-73.1158543,trunk,392991,VT 9,crossing.csv,,,,,
Vernon Warwick Road,41.219399752541456,-74.45528621,secondary,2007688,NJ 94;CR 515,crossing.csv,,,,,
Virginia Avenue,37.33810849999999,-80.7559784,trunk,2007649,US 460,crossing.csv,,,,,
Virginia Avenue,37.3415414,-80.7591601,trunk,2007649,US 460,crossing.csv,,,,,
Wachachau Tower Road,35.410643128833506,-83.76576019,track,2007645,,crossing.csv,,,,,
Wadleigh Pond Road,45.76342860105872,-69.17572432,unclassified,2007932,,crossing.csv,,,,,
Wadleigh Pond Road,45.7793766,-69.1727422,track,2007932,,crossing.csv,,,,,
Walnut Mountain Road,36.22184910843784,-82.00413797,residential,2007647,,crossing.csv,,,,,
Walnut Street,40.38928643389001,-77.0307334,residential,394916,,crossing.csv,,,,,
Waring Drive,40.98302173,-75.14046127,residential,394916,,crossing.csv,,,,,
Warner Hollow Road,39.65599131287098,-77.53851251,residential,2007644,,crossing.csv,,,,,
Warren Turnpike Road,41.94702633290097,-73.36370702,residential,3352289,,crossing.csv,,,,,
Warren Turnpike Road,41.9355712,-73.3613519,residential,3352289,,crossing.csv,,,,,
Warwick Turnpike,41.2015221,-74.3915251,tertiary,2007688,,crossing.csv,,,,,
Washington Monument Road,39.49795261489517,-77.62012454,residential,2007644,,crossing.csv,,,,,
Washington Mountain Road,42.37703400000001,-73.150812,tertiary,2991960,,crossing.csv,,,,,
Water Street,36.6313093,-81.7921262,residential,2007649,SR T1203,crossing.csv,,,,,
Water Street,41.9561323,-73.367598,tertiary,3352289,,crossing.csv,,,,,
Water Tower Road,39.85076337184036,-77.51072876,track,394916,,crossing.csv,,,,,
Waterline Trail,39.84182191050431,-77.5052179,track,394916,,crossing.csv,,,,,
Waterville Road,35.78429039999999,-83.1136842,unclassified,2007647,,crossing.csv,,,,,
Watia Road,35.3405608,-83.6053107,service,2007645,,crossing.csv,,,,,
Wawayanda Road,41.20300000000001,-74.400746,track,2007688,,crossing.csv,,,,,
Wayah Bald Road,35.170696603420055,-83.58316485,unclassified,2007645,FS 69,crossing.csv,,,,,
Wayah Road,35.15393247132763,-83.58023837,tertiary,2007645,,crossing.csv,,,,,
Wayside Road Extension,43.65905429413003,-72.6084196,track,392991,,crossing.csv,,,,,
Webster Road,42.2524726,-73.1789085,residential,2991960,,crossing.csv,,,,,
Wertzville Road,40.28443320198007,-77.09393154,secondary,394916,PA 944,crossing.csv,,,,,
Wesley Road,37.3991418,-79.8999958,track,2007649,SR 653,crossing.csv,,,,,
West Blue Grass Trail,36.983494052780635,-81.40640579,secondary,2007649,VA 42,crossing.csv,,,,,
West Branch Road,42.361693,-73.1532089,unclassified,2991960,,crossing.csv,,,,,
West Cornwall Road,41.873429722354174,-73.39113298,tertiary,3352289,,crossing.csv,,,,,
West Dover Road,41.60295623759305,-73.61152146,tertiary,2007688,CR 20,crossing.csv,,,,,
West Housatonic Street,42.4695205,-73.1589536,tertiary,2991960,,crossing.csv,,,,,
West Laurel Avenue,36.63555721,-81.79164042,trunk,2007649,US 58,crossing.csv,,,,,
West Mombasha Road,41.27004403714186,-74.21484455,tertiary,2007688,CR 91,crossing.csv,,,,,
West Old Murphy Road,35.0980707,-83.526742,tertiary,2007645,,crossing.csv,,,,,
West Road,42.153804289177494,-73.37467025,residential,2991960,,crossing.csv,,,,,
West Wheelock Street,43.70241995250668,-72.28949154,primary,2007646,NH 10A,crossing.csv,,,,,
Weverton Road,39.33271439617159,-77.68214426,unclassified,2007644,,crossing.csv,,,,,
Whiskey Springs Road,40.09828999999997,-77.1286473,tertiary,394916,,crossing.csv,,,,,
White Mountain Road,44.2568881,-71.2522734,trunk,2007646,NH 16,crossing.csv,,,,,
White Rock Tower Road,36.23312499919415,-82.1166368,track,2007647,FS 71-2,crossing.csv,,,,,
Whitetop Road,36.646195225577735,-81.58297127,tertiary,2007649,SR 600,crossing.csv,,,,,
Wiggins Spring Road,37.75965328948032,-79.19533576,unclassified,2007649,SR 755,crossing.csv,,,,,
Wiggins Spring Road,37.7799409,-79.1822088,track,2007649,,crossing.csv,,,,,
Wilbur Dam Road,36.3286449,-82.1116161,residential,2007647,,crossing.csv,,,,,
Wilderness Road,37.170737,-80.902198,tertiary,2007649,SR 606,crossing.csv,,,,,
Wiley House Station Road,44.1680149,-71.3873363,service,2007646,,crossing.csv,,,,,
Windsor Road,36.887537,-81.371293,secondary,2007649,SR 683,crossing.csv,,,,,
Wolfsville Road,39.63001514500528,-77.55904702,secondary,2007644,,crossing.csv,,,,,
Woodrow Road,40.0288947,-77.3664273,unclassified,394916,,crossing.csv,,,,,
Woods Road,41.141273,-74.858597,track,2007688,,crossing.csv,,,,,
Wyman Road,45.2969686,-69.5396483,residential,2007932,,crossing.csv,,,,,
Wyrick Trail,37.137008,-81.1336121,residential,2007649,,crossing.csv,,,,,
Yellow Creek Road,35.41071649,-83.76579577,residential,2007645,,crossing.csv,,,,,
York Road,40.172945399999996,-77.1210546,primary,394916,PA 74,crossing.csv,,,,,
Andover ME,44.667844,-70.892984,22,147.94,1859.051,resupply.csv,,,,,
Appalachian Market,41.350974,-73.925842,113.05,43.75,1371.46,resupply.csv,,,,,
Bennington VT,42.885147,-73.11573,102.64,39.5,1564.368,resupply.csv,,,,,
Big Meadows Wayside,38.519465,-78.443374,19.62,200.59,902.819,resupply.csv,,,,,
Bland VA,37.137208,-81.132805,44.82,206.57,575.901,resupply.csv,,,,,
Boiling Springs PA,40.150161,-77.127182,7.6,14.43,1094.457,resupply.csv,,,,,
Buena Vista VA,37.674002,-79.334428,72.02,178.49,778.307,resupply.csv,,,,,
Caratunk ME,45.238152,-69.996332,25.35,181.57,1954.594,resupply.csv,,,,,
Carlisle PA,40.194864,-77.108359,21.6,168.1,1098.393,resupply.csv,,,,,
Catawaba VA,37.371403,-80.149856,34.28,85.53,686.277,resupply.csv,,,,,
Cherokee NC,35.611282,-83.425821,57.85,216.47,203.02,resupply.csv,,,,,
Cheshire MA,42.562003,-73.157026,14.95,136.12,1533.156,resupply.csv,,,,,
Daleville VA,37.393662,-79.90623,30.79,9.46,711.914,resupply.csv,,,,,
Dalton MA,42.474305,-73.159783,23.22,284.04,1524.896,resupply.csv,,,,,
Damascus VA,36.634032,-81.783623,12.63,38.75,457.945,resupply.csv,,,,,
Delaware Water Gap PA,40.982919,-75.140541,96.6,212.4,1261.974,resupply.csv,,,,,
Duncannon PA,40.391502,-77.031133,341.77,206.08,1118.661,resupply.csv,,,,,
Elkwallow Wayside,38.739041,-78.307651,1.82,278.11,929.308,resupply.csv,,,,,
Erwin TN,36.110571,-82.360765,50.65,91.61,344.06,resupply.csv,,,,,
Erwin TN,36.1054,-82.448382,11.01,132.8,336.237,resupply.csv,,,,,
Fayetteville PA,39.905692,-77.48971,32.78,219.82,1056.275,resupply.csv,,,,,
Fontana Dam NC,35.452001,-83.801084,240.56,303.8,162.91,resupply.csv,,,,,
Fort Montgomery NY,41.315981,-73.989487,87.07,168.01,1365.441,resupply.csv,,,,,
Franklin TN,35.121635,-83.546572,147.09,86.25,107.449,resupply.csv,,,,,
Front Royal VA,38.878088,-78.150403,35.55,174.83,948.055,resupply.csv,,,,,
Gatlinburg TN,35.611237,-83.42534,33.25,168.86,203.04,resupply.csv,,,,,
Glasgow VA,37.596727,-79.389983,37.72,203.41,767.692,resupply.csv,,,,,
Gorham NH,44.400092,-71.11197,15.01,82.22,1822.811,resupply.csv,,,,,
Gorham NH,44.256788,-71.252174,44.83,144.58,1804.497,resupply.csv,,,,,
Great Barrington MA,42.153478,-73.364468,7.04,240.81,1478.89,resupply.csv,,,,,
Hamburg PA,40.574033,-76.020155,51.18,188.58,1188.236,resupply.csv,,,,,
Hampton TN,36.30201,-82.127965,41.29,205.26,416.704,resupply.csv,,,,,
Hanover NH,43.702467,-72.289535,24.39,204.8,1692.926,resupply.csv,,,,,
Harpers Ferry WV,39.323213,-77.729821,23.4,4.84,999.955,resupply.csv,,,,,
Harriman NY,41.267453,-74.158959,26.21,69.93,1346.273,resupply.csv,,,,,
Hiawassee GA,34.802493,-83.742943,72.05,41.27,52.55,resupply.csv,,,,,
Hiawassee GA,34.912473,-83.619347,146.35,304.91,68.299,resupply.csv,,,,,
Hot Springs NC,35.891885,-82.82934,135.24,241.02,268.675,resupply.csv,,,,,
Kent CT,41.731136,-73.49061,52.97,30.14,1426.79,resupply.csv,,,,,
Killington VT,43.680497,-72.782139,46.43,268.01,1654.032,resupply.csv,,,,,
Lee MA,42.289247,-73.158131,63.3,310.56,1506.409,resupply.csv,,,,,
Lewis Mountain Campground,38.434886,-78.477153,35.4,214.9,894.992,resupply.csv,,,,,
Loft Mountain Wayside,38.259819,-78.655577,26.73,212.09,870.784,resupply.csv,,,,,
Luray VA,38.66254,-78.322785,29.91,254.98,920.988,resupply.csv,,,,,
Manchester Center VT,43.207053,-72.970226,105.9,80.02,1601.759,resupply.csv,,,,,
Marion VA,36.811455,-81.420884,85.66,216.59,519.674,resupply.csv,,,,,
Millinocket ME,45.834989,-68.963113,156.24,110.84,2076.119,resupply.csv,,,,,
Monson ME,45.331392,-69.535389,37.28,268.26,1984.496,resupply.csv,,,,,
Mountain Crossings,34.73538,-83.917895,58.75,15.51,32.545,resupply.csv,,,,,
Mountain Harbour Hostel,36.177748,-82.012059,148.43,326.75,384.136,resupply.csv,,,,,
Nantahala Outdoor Center  NOC,35.332246,-83.591901,157.86,91.63,134.208,resupply.csv,,,,,
North Adams MA,42.699658,-73.155298,133.03,120.84,1547.241,resupply.csv,,,,,
North Woodstock and Lincoln NH,44.040466,-71.790848,269.36,116.83,1742.127,resupply.csv,,,,,
North Woodstock and Lincoln NH,44.110715,-71.682723,32.12,160.47,1756.197,resupply.csv,,,,,
Palmerton PA,40.783791,-75.60585,37.37,9.69,1227.197,resupply.csv,,,,,
Pawling NY,41.592755,-73.587756,72.71,273.14,1408.494,resupply.csv,,,,,
Pearisburg VA,37.334389,-80.756164,49.45,236.92,620.091,resupply.csv,,,,,
Peekskill NY,41.319857,-73.988189,43.21,51.28,1365.868,resupply.csv,,,,,
Pine Grove Furnace Store,40.032055,-77.307322,43.92,64.89,1075.359,resupply.csv,,,,,
Pine Grove PA,40.507404,-76.37764,216.73,346.77,1162.66,resupply.csv,,,,,
Port Clinton PA,40.580194,-76.025133,33.02,238.44,1187.705,resupply.csv,,,,,
Port Jervis NY,41.305086,-74.670038,92.66,114.44,1302.546,resupply.csv,,,,,
Quarter Way Inn,36.958715,-81.394981,5.67,17,540.523,resupply.csv,,,,,
Rangeley ME,44.887005,-70.540509,150.3,217.76,1891.76,resupply.csv,,,,,
Rutland VT,43.521108,-72.924929,60.96,123.06,1632.024,resupply.csv,,,,,
Salisbury CT,41.989321,-73.417854,117.75,314.66,1458.308,resupply.csv,,,,,
Skyland Resort,38.591928,-78.379191,88.24,222.47,911.526,resupply.csv,,,,,
Smithsburg MD,39.630023,-77.558975,55.28,81.06,1029.99,resupply.csv,,,,,
Standing Bear Hostel,35.783068,-83.102272,15.84,56.89,236.122,resupply.csv,,,,,
Stratton ME,45.103395,-70.356767,32.71,95,1920.479,resupply.csv,,,,,
The Appalachian Station at 19E,36.176951,-82.01119,102.87,341.99,384.073,resupply.csv,,,,,
Trent's Grocery,37.17068,-80.902217,21.48,194.88,593.939,resupply.csv,,,,,
Troutdale VA,36.720578,-81.46198,33.95,27.8,505.765,resupply.csv,,,,,
Unionville NY,41.296615,-74.562632,7.06,53.15,1310.791,resupply.csv,,,,,
Vernon NJ,41.219082,-74.455204,95.54,171.5,1321.713,resupply.csv,,,,,
Waynesboro PA,39.630023,-77.558975,55.28,81.06,1029.99,resupply.csv,,,,,
Waynesboro VA,38.032662,-78.858887,38.5,12.26,842.373,resupply.csv,,,,,
Williamstown MA,42.699911,-73.156199,95.91,287.05,1547.234,resupply.csv,,,,,
Wind Gap PA,40.860629,-75.292794,9.17,305.85,1247.021,resupply.csv,,,,,
501 Shelter,40.51251,-76.3469,411.45,334.55,1164.422,shelter.csv,,,,,
A. Rufus Morgan Shelter,35.32418,-83.5902,149.87,56.11,133.255,shelter.csv,,,,,
Abingdon Gap Shelter,36.58101,-81.9022,159.28,291.76,447.687,shelter.csv,,,,,
Alec Kennedy Shelter,40.11192,-77.1043,487.55,160.07,1090.612,shelter.csv,,,,,
Allentown Hiking Club Shelter,40.68306,-75.8744,156.82,127.57,1209.438,shelter.csv,,,,,
Amicalola Falls State Park,34.56265,-84.24763,19504.37,210.82,0,shelter.csv,,,,,
Antietam Shelter,39.79381,-77.483,42.26,150.62,1046.07,shelter.csv,,,,,
Bailey Gap Shelter,37.40086,-80.5772,5.81,270.72,642.676,shelter.csv,,,,,
Bake Oven Knob Shelter,40.75412,-75.7274,106.52,223.03,1219.169,shelter.csv,,,,,
Bald Mountain Brook Lean-to,45.25854,-69.7999,335.87,131.42,1968.262,shelter.csv,,,,,
Bald Mountain Shelter,36,-82.4783,189.27,30.03,319.995,shelter.csv,,,,,
Baldpate Lean-to,44.59837,-70.9123,505.21,176.69,1851.863,shelter.csv,,,,,
Bearfence Mountain Hut,38.44408,-78.4707,298.52,117.03,895.782,shelter.csv,,,,,
Beaver Brook Shelter,44.03296,-71.8118,276.09,302.85,1740.872,shelter.csv,,,,,
Bellows Pipe Shelter,42.6441,-73.1547,1501.27,114.85,1541.598,shelter.csv,,,,,
Bemis Mountain Lean-to,44.8103,-70.7565,169.24,159.71,1875.556,shelter.csv,,,,,
Big Branch Shelter,43.36407,-72.9469,90.71,183.52,1617.047,shelter.csv,,,,,
Birch Run Shelter,39.98459,-77.4207,385.62,199.19,1065.846,shelter.csv,,,,,
Black Gap Shelter,34.61756,-84.1988,277.62,351.69,1.221,shelter.csv,,,,,
Blackrock Hut,38.21408,-78.7427,469.37,136.88,862.497,shelter.csv,,,,,
Blood Mountain Shelter,34.73996,-83.9375,75.78,175.68,30.302,shelter.csv,,,,,
Blue Mountain Shelter,34.81711,-83.7668,185.34,30.29,50.421,shelter.csv,,,,,
Bobblets Gap Shelter,37.4672,-79.7014,500.6,328.01,730.069,shelter.csv,,,,,
Brassie Brook Shelter,42.02833,-73.4536,175.05,90.98,1463.036,shelter.csv,,,,,
Brink Road Shelter,41.1532,-74.8382,761.83,357.01,1285.658,shelter.csv,,,,,
Bromley Shelter,43.2395,-72.9372,138.97,277.47,1605.372,shelter.csv,,,,,
Brown Fork Gap Shelter,35.37424,-83.7339,413.79,345.11,149.782,shelter.csv,,,,,
Brown Mountain Creek Shelter,37.71023,-79.2682,184.75,26.49,787.195,shelter.csv,,,,,
Bryant Ridge Shelter,37.53004,-79.5856,20.47,121.76,743.301,shelter.csv,,,,,
Byrds Nest #3 Hut,38.63441,-78.32375,103.67,352.83,917.739,shelter.csv,,,,,
Cable Gap Shelter,35.41522,-83.7736,76.62,258.27,155.806,shelter.csv,,,,,
Calf Mountain Shelter,38.08552,-78.7868,1419.63,353.28,848.876,shelter.csv,,,,,
Campbell Shelter,37.39079,-80.0295,191.19,200.73,696.607,shelter.csv,,,,,
Carl A. Newhall Lean-to,45.5305,-69.3155,188.24,284.62,2017.51,shelter.csv,,,,,
Carlo Col Shelter & Campsite,44.48859,-71.0167,979.95,349.51,1837.638,shelter.csv,,,,,
Carter Gap Shelter,34.99987,-83.4949,171.09,105.78,91.765,shelter.csv,,,,,
Carter Notch Hut,44.2593,-71.1959,441.96,223.45,1809.381,shelter.csv,,,,,
Catawba Mountain Shelter,37.3882,-80.0574,263.66,178.66,694.066,shelter.csv,,,,,
Chairback Gap Lean-to,45.45293,-69.2627,78.8,96.13,2008.277,shelter.csv,,,,,
Chatfield Shelter,36.84991,-81.3633,163.65,274.61,526.255,shelter.csv,,,,,
Cherry Gap Shelter,36.12924,-82.2642,97.57,305.64,352.412,shelter.csv,,,,,
Chestnut Knob Shelter,37.05769,-81.3995,68.38,308.42,554.418,shelter.csv,,,,,
Churchill Scott Shelter,43.64489,-72.85339,350.24,218.45,1646.961,shelter.csv,,,,,
Clarendon Shelter,43.52353,-72.9131,272.83,185,1633.057,shelter.csv,,,,,
Clarks Ferry Shelter,40.39222,-76.994,190.33,103.55,1122.986,shelter.csv,,,,,
Cloud Pond Lean-to,45.41892,-69.3522,848.96,147.81,2002.193,shelter.csv,,,,,
Cloudland Market Shelter,43.69214,-72.4931,1603.32,4.72,1676.802,shelter.csv,,,,,
Clyde Smith Shelter,36.14844,-82.1613,235.11,342.22,361.296,shelter.csv,,,,,
Cold Spring Shelter,35.2309,-83.5599,90.6,178.25,122.797,shelter.csv,,,,,
Congdon Shelter,42.84805,-73.1104,90.19,269.49,1560.429,shelter.csv,,,,,
Cooper Brook Falls Lean-to,45.64053,-69.088,24.54,359.52,2035.045,shelter.csv,,,,,
Cooper Lodge Shelter,43.60595,-72.8229,33.02,247.47,1642.958,shelter.csv,,,,,
Cornelius Creek Shelter,37.49391,-79.5472,263.84,209.29,748.17,shelter.csv,,,,,
Cosby Knob Shelter,35.72708,-83.1822,289.58,140.89,225.824,shelter.csv,,,,,
Cove Mountain Shelter,40.36346,-77.0678,561.81,165.04,1115.108,shelter.csv,,,,,
Cove Mountain Shelter,37.51171,-79.6511,79.79,178.07,736.477,shelter.csv,,,,,
Cow Camp Gap Shelter,37.74662,-79.2133,565.11,187.44,792.585,shelter.csv,,,,,
Crampton Gap Shelter,39.41253,-77.6376,864.6,82.54,1010.163,shelter.csv,,,,,
Curley Maple Gap Shelter,36.10417,-82.397,39.34,65.76,340.147,shelter.csv,,,,,
Dahlgren Backpack Campground,39.49203,-77.60148,3604.3,68.72,1017.355,shelter.csv,,,,,
Darlington Shelter,40.30198,-77.0874,281.29,97.47,1108.093,shelter.csv,,,,,
Davenport Gap Shelter,35.76922,-83.1237,104.81,16.83,232.746,shelter.csv,,,,,
David Lesser Memorial Shelter,39.22718,-77.7795,235,135.85,990.909,shelter.csv,,,,,
Davis Path Campsite,36.91444,-81.3769,105.67,304.07,533.424,shelter.csv,,,,,
Deep Gap Shelter,34.88235,-83.6462,1095.22,147.55,65.051,shelter.csv,,,,,
Deer Hill Shelter,42.62935,-73.194,3422.44,324.02,1539.095,shelter.csv,,,,,
Deer Lick Shelters,39.76619,-77.4852,148.58,15.04,1043.803,shelter.csv,,,,,
Deer Park Mountain Shelter,35.87583,-82.8614,212.28,81.24,265.378,shelter.csv,,,,,
Derrick Knob Shelter,35.56625,-83.6419,86.46,175.27,185.683,shelter.csv,,,,,
Dicks Dome Shelter,38.96992,-77.997,648.98,126.86,962.943,shelter.csv,,,,,
Docs Knob Shelter,37.27021,-80.8364,55.37,338.08,610.9,shelter.csv,,,,,
Double Spring Gap Shelter,35.56517,-83.5429,51.1,99.22,192.935,shelter.csv,,,,,
Double Springs Shelter,36.50897,-81.9862,85.49,237.71,439.642,shelter.csv,,,,,
Eagles Nest Shelter,40.54929,-76.1527,1385.5,318.36,1178.696,shelter.csv,,,,,
